CHILDID,P1LEARN,P2LEARN,P4LEARN,T1LEARN,T2LEARN,T4LEARN,T5LEARN,T6LEARN,P1SRS10,P1SRS13,P1SRS15,P1SRS18,P1SRS22,P1SRS24,P2SRS10,P2SRS13,P2SRS15,P2SRS18,P2SRS22,P2SRS24,P4SRS10,P4SRS13,P4SRS15,P4SRS18,P4SRS22,P4SRS24,T1SRS11,T1SRS14,T1SRS15,T1SRS21,T1SRS23,T1SRS24,T2SRS11,T2SRS14,T2SRS15,T2SRS21,T2SRS23,T2SRS24,T4SRS11,T4SRS14,T4SRS15,T4SRS21,T4SRS23,T4SRS24,T5SRS11,T5SRS14,T5SRS15,T5SRS21,T5SRS23,T5SRS24,T5SRS26,G6SRS11,G6SRS14,G6SRS15,G6SRS21,G6SRS23,G6SRS24,G6SRS26
0317017C,3.83,3.83,3.83,3.17,2.67,,3.43,2.29,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,3,4,4,3,4,4,3,3,2,2,3,4,3,2,2,,,,,,,3,4,3,4,3,3,4,2,2,2,3,2,2,3
0317018C,4,3.33,3.83,3.83,3.67,,,,4,4,4,4,4,4,4,4,2,2,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,3,4,3,4,,,,,,,,,,,,,,,,,,,,
0317019C,2.5,3.33,3.33,2.5,2.67,,2.57,3,3,3,1,2,3,3,3,3,3,4,4,3,3,4,1,4,4,4,3,2,3,3,2,2,3,2,3,4,2,2,,,,,,,2,3,3,2,2,3,3,4,2,3,3,3,3,3
0317020C,3.67,3.5,3,3.67,3.5,,3.71,3,4,3,3,4,4,4,3,4,2,4,4,4,3,3,2,4,2,4,4,4,4,4,3,3,4,4,3,4,3,3,,,,,,,4,4,3,4,4,3,4,3,3,3,3,3,3,3
0317021C,3.5,3.67,4,3.5,3.5,,4,3,4,4,3,3,3,4,4,4,3,3,4,4,4,4,4,4,4,4,3,4,4,4,3,3,3,4,4,4,3,3,,,,,,,4,4,4,4,4,4,4,3,3,3,3,3,3,3
0317022C,3.67,3.83,3.5,3.83,4,,4,3.29,4,4,2,4,4,4,4,4,3,4,4,4,4,4,3,2,4,4,4,4,4,3,4,4,4,4,4,4,4,4,,,,,,,4,4,4,4,4,4,4,4,3,3,3,3,3,4
0317023C,3.33,3.17,3.17,3.17,3.33,,3.57,2.57,3,4,2,3,4,4,4,4,1,4,4,2,3,4,3,3,3,3,3,4,4,3,3,2,3,4,4,4,3,2,,,,,,,3,4,4,3,4,4,3,2,2,3,3,3,2,3
0317024C,3.67,3,3,3.83,3.83,,4,3.14,4,4,3,3,4,4,3,3,2,3,4,3,3,3,3,2,3,4,4,4,4,4,4,3,4,4,4,4,4,3,,,,,,,4,4,4,4,4,4,4,3,3,3,3,3,3,4
0318001C,3.17,2.33,2.83,2.17,2,2.33,,,3,4,2,4,3,3,2,2,2,2,3,3,3,3,3,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,,,,,,,,,,,,,,
0318003C,2.67,2.83,3.17,3.5,2.5,3,3.14,2.71,3,3,2,2,2,4,3,3,2,2,3,4,3,4,2,3,4,3,3,4,4,3,4,3,3,3,2,3,2,2,4,3,3,2,3,3,2,3,4,3,4,3,3,2,2,3,3,3,3,3
0318004C,3,2.83,2.67,3.33,3.67,3,3.29,,3,4,3,2,3,3,2,4,3,2,3,3,3,3,2,2,3,3,3,4,4,3,3,3,3,4,4,3,4,4,4,2,3,3,3,3,4,3,4,2,3,3,4,,,,,,,
0318005C,2.83,2.83,2.67,3.5,2.5,2.5,2.43,,2,3,2,4,2,4,2,4,2,3,4,2,2,3,2,4,3,2,3,4,4,3,4,3,2,2,3,2,3,3,2,2,2,3,3,3,2,2,3,2,3,2,3,,,,,,,
0318006C,3.33,2.83,2.83,,,,,,3,3,2,4,4,4,3,3,2,3,3,3,3,3,2,4,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0318007C,3.83,3.67,,3.67,2.17,2.5,2.86,,3,4,4,4,4,4,4,4,3,3,4,4,,,,,,,3,4,4,3,4,4,3,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,2,3,3,,,,,,,
0318008C,2.83,2.67,3.17,3.67,3.33,,2.43,3.43,3,3,2,3,3,3,2,3,2,3,3,3,3,3,2,4,4,3,3,4,4,4,4,3,3,3,4,2,4,4,,,,,,,2,3,2,2,3,2,3,1,4,4,3,4,4,4
0318009C,3.5,3.33,3.5,3.5,2.83,2.83,2.86,,3,4,3,4,3,4,3,4,3,3,4,3,4,3,3,4,4,3,4,4,4,3,3,3,3,3,3,2,3,3,3,3,3,3,3,2,3,3,3,2,3,3,3,,,,,,,
0318010C,3.33,3,2.5,3.17,2.83,3,,,2,4,2,4,4,4,2,3,3,4,2,4,2,2,2,4,2,3,3,4,3,4,2,3,3,3,3,3,2,3,3,3,3,3,3,3,,,,,,,,,,,,,,
0318011C,2.5,2.33,,2.5,2.17,3,,,3,2,2,3,2,3,2,3,1,3,3,2,,,,,,,3,3,3,2,2,2,3,2,2,2,2,2,3,3,3,3,3,3,,,,,,,,,,,,,,
0318012C,2.67,3.33,3.33,3,3,2.83,2.5,3,3,3,2,2,3,3,3,4,3,2,4,4,4,4,2,2,4,4,3,3,3,3,3,3,3,2,3,3,3,4,3,3,2,3,3,3,3,3,2,1,3,,3,2,3,3,,2,4,4
0318013C,3.5,3.83,3.67,3.33,3,3.17,2.86,,3,4,3,4,3,4,4,4,3,4,4,4,4,3,3,4,4,4,3,3,3,3,4,4,3,3,3,3,3,3,4,3,3,3,3,3,4,2,3,2,3,3,3,,,,,,,
0318014C,3,3.17,3.5,2.83,2.17,3,2.29,,4,3,2,3,4,2,4,3,3,4,3,2,4,4,2,4,4,3,3,3,2,3,3,3,2,2,2,3,2,2,3,3,3,3,3,3,2,2,3,2,2,2,3,,,,,,,
0318015C,2.67,2.67,2.33,2.67,2.5,2.83,1.86,,3,3,2,3,3,2,2,3,2,3,3,3,2,2,2,3,3,2,3,2,3,3,3,2,3,2,2,3,3,2,3,3,3,3,3,2,1,3,2,2,1,2,2,,,,,,,
0318017C,3.33,2.83,3,4,3.33,4,3.71,,4,3,4,4,3,2,3,3,3,3,3,2,3,3,3,3,3,3,4,4,4,4,,4,3,2,4,3,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,,,,,,,
0318018C,3,3.17,3.5,2.17,2.5,2.83,2.43,,3,4,2,3,3,3,2,4,2,3,4,4,3,4,3,3,4,4,2,2,3,2,2,2,3,3,2,2,3,2,2,3,3,3,3,3,2,2,3,2,3,2,3,,,,,,,
0319002C,3.83,3.83,3.5,3.67,4,,3.14,1.86,4,4,3,4,4,4,3,4,4,4,4,4,3,4,2,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,,,,,,,2,4,3,3,4,3,3,2,1,2,1,1,2,4
0319003C,3.5,2.5,2.67,2.17,2.17,,2.71,2,2,4,3,4,4,4,2,3,2,2,4,2,2,3,2,3,3,3,2,2,2,3,2,2,2,2,2,3,2,2,,,,,,,3,2,3,3,3,2,3,2,1,2,2,2,2,3
0319004C,3.33,3.83,3.33,2.67,3.67,,3.43,3.57,3,3,3,4,4,3,4,3,4,4,4,4,3,3,3,4,4,3,2,3,3,3,3,2,3,4,4,4,4,3,,,,,,,3,4,3,4,4,3,3,4,3,4,3,4,3,4
0319005C,3.33,3.17,3.67,2.83,2.83,,3.43,3.86,3,4,2,3,4,4,2,4,2,3,4,4,3,4,3,4,4,4,3,4,2,3,3,2,2,4,3,4,2,2,,,,,,,3,4,3,4,2,4,4,4,4,4,4,3,4,4
0319006C,2.33,2.17,2.5,2.5,2.33,,3.14,3,3,3,2,1,2,3,2,3,2,2,2,2,3,3,2,2,3,2,2,2,4,2,3,2,2,2,4,2,2,2,,,,,,,3,3,4,3,3,3,3,3,3,3,2,4,3,3
0319007C,3.67,3.33,3.33,2,2,,,,4,4,3,3,4,4,3,4,3,2,4,4,3,4,3,3,4,3,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,
0319008C,3.33,2.83,3.17,1.83,2.17,,2.57,2,3,3,2,4,4,4,2,4,2,3,3,3,2,4,2,3,4,4,2,2,2,2,2,1,2,3,2,2,2,2,,,,,,,2,3,3,2,3,3,2,2,2,2,2,2,2,2
0319009C,4,3.83,3.5,2.33,2.8,,4,,4,4,4,4,4,4,3,4,4,4,4,4,4,3,3,4,4,3,2,2,2,3,3,2,3,3,2,3,,3,,,,,,,4,4,4,4,4,4,4,,,,,,,
0319010C,3.5,4,3.67,2.33,2.83,,3,2.86,4,3,3,3,4,4,4,4,4,4,4,4,4,4,2,4,4,4,3,2,2,3,2,2,3,3,2,3,3,3,,,,,,,3,3,3,3,3,3,3,3,2,3,3,3,3,3
0319011C,2.83,2.83,2.67,2.17,3.67,,3,3,2,3,3,3,3,3,3,3,2,3,3,3,3,3,2,3,3,2,2,2,2,3,2,2,4,4,4,4,3,3,,,,,,,3,3,2,4,4,2,3,3,3,3,3,3,3,3
0319012C,2.83,3.67,2.67,2.83,2.5,,3,3,3,3,3,2,3,3,4,4,2,4,4,4,1,4,2,2,3,4,3,3,3,3,3,2,2,2,3,3,3,2,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3
0319014C,3.33,3,,,,,,,4,3,3,2,4,4,4,3,3,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0319016C,3.67,3.17,3.17,3.67,4,,3.43,4,3,4,3,4,4,4,2,4,2,3,4,4,2,4,3,3,3,4,4,4,4,2,4,4,4,4,4,4,4,4,,,,,,,3,3,3,4,4,4,3,4,4,4,4,4,4,4
0319017C,3.17,3.67,3.67,2.83,3.83,,,,3,3,4,2,4,3,4,4,4,2,4,4,4,4,4,2,4,4,3,3,3,3,3,2,3,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,
0319018C,3.33,3.33,2.83,3.5,4,,3.14,,3,3,3,3,4,4,3,4,3,4,3,3,3,3,2,3,3,3,3,4,4,4,4,2,4,4,4,4,4,4,,,,,,,3,2,2,4,4,3,4,,,,,,,
0319019C,2.33,2.67,2.67,1,1.17,,,,2,2,3,2,3,2,2,3,2,3,3,3,2,3,2,3,3,3,1,1,1,1,1,1,1,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,
0319020C,2.83,3.17,3,4,3.67,,4,3.86,2,4,3,2,4,2,3,4,4,2,4,2,3,3,3,2,4,3,4,4,4,4,4,4,2,4,4,4,4,4,,,,,,,4,4,4,4,4,4,4,4,3,4,4,4,4,4
0319021C,4,4,,4,4,,3.43,3.86,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,,3,4,4,4,3,3,3,4,3,4,4,4,4,4
0319022C,3.17,3.17,3.5,3.67,3.5,,,,3,3,3,3,4,3,3,3,3,2,4,4,3,4,3,3,4,4,4,2,4,4,4,4,4,3,3,3,4,4,,,,,,,,,,,,,,,,,,,,
0319023C,2.67,2.83,,4,3.67,,,,2,3,2,2,4,3,2,3,3,3,3,3,,,,,,,4,4,4,4,4,4,4,4,3,4,4,3,,,,,,,,,,,,,,,,,,,,
0320002C,4,3.83,2.67,2.5,2.67,,,1.86,4,4,4,4,4,4,4,4,4,3,4,4,2,3,2,3,3,3,2,3,2,3,2,3,2,3,3,3,2,3,,,,,,,,,,,,,,1,2,2,2,2,2,2
0320003C,2.5,2.5,2.5,1.5,,,,,2,3,2,2,3,3,2,4,2,2,3,2,2,3,2,2,3,3,2,2,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
0320004C,3,3,,2.17,2,,3.57,,3,4,2,2,4,3,2,4,2,3,4,3,,,,,,,2,2,2,3,1,3,3,2,2,1,2,2,,,,,,,4,2,4,4,4,3,4,,,,,,,
0320005C,,,,2.17,2.17,,,,,,,,,,,,,,,,,,,,,,2,2,3,2,2,2,2,2,3,2,2,2,,,,,,,,,,,,,,,,,,,,
0320006C,3,,,,,,,,4,3,2,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0320007C,3.5,,3.67,4,4,,,3.43,4,4,2,3,4,4,,,,,,,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,,,,,,,,,3,4,4,3,3,3,4
0320008C,2.5,2.17,,2,1.67,,,,2,3,2,4,1,3,2,2,1,3,2,3,,,,,,,2,2,2,2,2,2,2,2,1,1,2,2,,,,,,,,,,,,,,,,,,,,
0320009C,3.83,2.83,3.67,2.5,1.83,,,,4,4,3,4,4,4,2,3,3,3,3,3,3,4,4,4,4,3,1,3,3,3,2,3,1,2,2,3,1,2,,,,,,,,,,,,,,,,,,,,
0320010C,3,2.5,3.33,2.5,2.67,,,2.71,2,4,2,2,4,4,2,3,2,3,3,2,4,4,2,2,4,4,3,3,2,3,2,2,3,2,2,3,3,3,,,,,,,,,,,,,,2,3,3,2,3,3,3
0320011C,3.67,3.5,3.5,3.5,2.67,,,3.86,4,4,3,3,4,4,4,4,3,2,4,4,3,4,3,3,4,4,3,3,4,3,4,4,3,2,3,2,3,3,,,,,,,,,,,,,,4,4,4,3,4,4,4
0320012C,2.5,3,,2,1.33,,,1.86,2,2,2,2,3,4,4,2,4,2,2,4,,,,,,,1,2,3,3,1,2,2,1,1,1,1,2,,,,,,,,,,,,,,2,2,2,2,2,1,2
0320013C,2.83,2.5,3,2.67,2,,2,,3,3,2,3,3,3,2,3,1,3,3,3,3,4,2,3,3,3,3,3,3,2,3,2,1,2,3,2,2,2,,,,,,,2,2,2,2,2,2,2,,,,,,,
0320014C,2.67,2.67,2.83,2.17,2,,2.14,,2,3,2,3,3,3,2,3,2,3,3,3,2,4,2,3,3,3,2,2,2,2,3,2,2,2,2,2,2,2,,,,,,,1,3,3,2,2,2,2,,,,,,,
0320015C,,,3,2.67,3,,2.43,,,,,,,,,,,,,,3,3,2,4,3,3,3,1,4,3,2,3,3,3,3,3,3,3,,,,,,,2,2,2,2,4,2,3,,,,,,,
0320016C,2.17,3.17,,2.17,1.33,,1.43,,1,2,3,2,3,2,3,4,3,3,3,3,,,,,,,2,1,4,2,2,2,2,1,1,2,1,1,,,,,,,1,2,1,2,1,1,2,,,,,,,
